Module Title,Learning Outcome,Promoted skill,Promoted knowledge
Course_Applied_Computational_Intelligence,Correctly define the optimization problem and its objectives for numerically finding optimized solutions as well as feasible search alternatives,"http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6, http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779, http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead, http://data.europa.eu/esco/skill/d9e5349e-8791-49c2-8ba4-839fdd1606c2","http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38, http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8, http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751, http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c, http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9"
Course_Applied_Computational_Intelligence,Explain and differentiate the foundations and concepts of Computational Intelligence (CI) and other related methods used for numerical optimization,"http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632, http://data.europa.eu/esco/skill/732cb4dd-af91-4c88-9a9f-5fc62144e500","http://data.europa.eu/esco/skill/5608d5a0-6d5e-43b7-be37-616501729bb4, http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669, http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378, http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080, http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43, http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a, http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb, http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2, http://data.europa.eu/esco/skill/5b26f08b-88bc-45f0-b901-530d7786466b"
Course_Applied_Computational_Intelligence,Analyse the optimization problem by modelling the problem model and the optimization method,"http://data.europa.eu/esco/skill/56042303-972b-41be-9310-58467599ff7e, http://data.europa.eu/esco/skill/b04f377b-ee80-4b38-aca1-19d266a23b17, http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6, http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779, http://data.europa.eu/esco/skill/27ed854c-15b8-4ba2-90e9-ae888a219703","http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38, http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8, http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751, http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c, http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9"
Course_Applied_Computational_Intelligence,Create a computational optimization experiment to generate optimization results,"http://data.europa.eu/esco/skill/38d49d88-9069-467b-b29e-3cae739bdd4d, http://data.europa.eu/esco/skill/505e4ef3-7ce4-437d-b7b4-5c608f71c258, http://data.europa.eu/esco/skill/7af6e9e8-1e11-4c0b-b7c6-ac96bbbbc674, http://data.europa.eu/esco/skill/906323f4-00c4-4c3b-ab5a-8af77be3456e, http://data.europa.eu/esco/skill/797a4416-0b8d-44f3-8fcd-eb10bd0be6b4","http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38, http://data.europa.eu/esco/skill/5608d5a0-6d5e-43b7-be37-616501729bb4, http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97, http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f, http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669, http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080, http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43, http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a, http://data.europa.eu/esco/skill/5b26f08b-88bc-45f0-b901-530d7786466b"
Course_Applied_Computational_Intelligence,Apply selected methods of Computational Intelligence in order to understand and practise selected optimization techniques,"http://data.europa.eu/esco/skill/38d49d88-9069-467b-b29e-3cae739bdd4d, http://data.europa.eu/esco/skill/505e4ef3-7ce4-437d-b7b4-5c608f71c258, http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433","http://data.europa.eu/esco/skill/5608d5a0-6d5e-43b7-be37-616501729bb4, http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669, http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080, http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43, http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a, http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb, http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2, http://data.europa.eu/esco/skill/5b26f08b-88bc-45f0-b901-530d7786466b"
Course_Applied_Computational_Intelligence,"Execute modelling, simulation and optimization techniques for problem solving","http://data.europa.eu/esco/skill/6a7792a9-888a-46ad-afc9-2c0d94c8fde6, http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779, http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041, http://data.europa.eu/esco/skill/797a4416-0b8d-44f3-8fcd-eb10bd0be6b4","http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38, http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f, http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8, http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751, http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c, http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9"
Course_Applied_Computational_Intelligence,"Apply, develop, and implement software components in order to compute optimization problems","http://data.europa.eu/esco/skill/3bddfd7c-ab6d-40c2-883d-5e97fb7640ba, http://data.europa.eu/esco/skill/797a4416-0b8d-44f3-8fcd-eb10bd0be6b4, http://data.europa.eu/esco/skill/83b33952-3872-46ec-9a2e-b28f91303a7e","http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a, http://data.europa.eu/esco/skill/b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f, http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97, http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389, http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7, http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d, http://data.europa.eu/esco/skill/4840338b-ac6c-486a-be1d-9ddfe00b8bdf, http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742"
Course_Applied_Computational_Intelligence,Evaluate the computational optimization results,"http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f, http://data.europa.eu/esco/skill/50b100ea-74fd-4706-99db-3e4ca55e51b8, http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278, http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2, http://data.europa.eu/esco/skill/c544a9f3-5945-4b54-afed-de0697852817","http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378, http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180, http://data.europa.eu/esco/skill/6360a934-cc87-4954-9656-b32db20592e3, http://data.europa.eu/esco/skill/68ef0e4d-5542-4e64-84f4-752cce5a3c22, http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833"
Course_Applied_Computational_Intelligence,Draw (create) conclusions based on the computational optimization experiment and the computational results,"http://data.europa.eu/esco/skill/f263da7f-0708-42c2-b1a9-39083416f632, http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562, http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63, http://data.europa.eu/esco/skill/c544a9f3-5945-4b54-afed-de0697852817","http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53, http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c, http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378, http://data.europa.eu/esco/skill/6360a934-cc87-4954-9656-b32db20592e3, http://data.europa.eu/esco/skill/68ef0e4d-5542-4e64-84f4-752cce5a3c22, http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833"
Course_Applied_Computational_Intelligence,Apply and evaluate optimization principles and methods to solve problems in various domains,"http://data.europa.eu/esco/skill/17c9a790-5664-4673-8237-c4cf3c5a8da5, http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041, http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328","http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9, http://data.europa.eu/esco/skill/ccdbd9bb-4faf-403c-a968-e8bf487f8a53, http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c, http://data.europa.eu/esco/skill/98301d4a-2cc3-439d-8d7f-0b6ac76302bb, http://data.europa.eu/esco/skill/9e84a506-df06-4be3-874a-fa01293e3dd5, http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8, http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751, http://data.europa.eu/esco/skill/5be3d306-6cf1-4b49-aa1d-01651dd4ba4c, http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9"
